"station_id","name","mode","lat","lon","year_opens","act","lines","color","src"
"X208","Turtel Creek","metro","32.810308","-96.810316","2040","32298","DNT Line - West","#E6EE9C","extra"
"X514","Hi Line","brt","32.802581","-96.816117","2040","24531","Ross Avenue BRT","#00838f","extra"
"X205","Love Field","metro","32.844635","-96.848453","2040","20378","DNT Line - West","#E6EE9C","extra"
"X202","Forest and Marsh","metro","32.909175","-96.856885","2040","17522","DNT Line - West;Forest Lane BRT","#E6EE9C","extra"
"X207","Oak Lawn","metro","32.824236","-96.820054","2040","17344","DNT Line - West","#E6EE9C","extra"
"X198","Addison","metro","32.982482","-96.855162","2040","17114","DNT Line - West","#E6EE9C","extra"
"X197","Hebron","metro","32.996906","-96.847392","2040","15362","DNT Line - West","#E6EE9C","extra"
"X199","Addison W2","metro","32.963616","-96.853478","2040","13131","DNT Line - West","#E6EE9C","extra"
"X518","Swiss Avenue Historic District","brt","32.805587","-96.76883","2040","12839","Ross Avenue BRT","#00838f","extra"
"X577","Mesquite E","commuter","32.766778","-96.591464","2040","11724","Terrell Line (ROW)","#5b6770","extra"
"X200","Addison W","metro","32.953156","-96.855471","2040","11317","DNT Line - West;Beltline Line","#E6EE9C","extra"
"X497","Watters Creek","commuter","33.0518","-96.709","2040","11013","Collin Commuter;Legacy Line","#5b6770","extra"
"X500","McKinney","commuter","33.1976","-96.6155","2040","10279","Collin Commuter","#5b6770","extra"
"X574","Fair Park E8","commuter","32.77667","-96.701978","2040","9410","Terrell Line (ROW)","#5b6770","extra"
"X519","Swiss Avenue Historic District E","brt","32.812082","-96.752256","2040","7958","Ross Avenue BRT","#00838f","extra"
"X204","NW Highway and Marsh","metro","32.861413","-96.85671","2040","7658","DNT Line - West","#E6EE9C","extra"
"X498","Allen","commuter","33.103176","-96.670553","2040","7556","Collin Commuter","#5b6770","extra"
"X580","Terrell","commuter","32.735395","-96.275354","2040","7438","Terrell Line (ROW)","#5b6770","extra"
"X212","South Side","metro","32.768765","-96.784888","2040","6144","DNT Line - West;DNT Line - East;Line 76","#E6EE9C","extra"
"X203","Plz","metro","32.880668","-96.855836","2040","5736","DNT Line - West","#E6EE9C","extra"
"X213","Wheatley Place Historic District","metro","32.751366","-96.759004","2040","5585","DNT Line - West","#E6EE9C","extra"
"X201","Brookhaven","metro","32.928245","-96.855247","2040","5333","DNT Line - West","#E6EE9C","extra"
"X579","Forney","commuter","32.748402","-96.471231","2040","5212","Terrell Line (ROW)","#5b6770","extra"
"X540","Burleson","commuter","32.56312","-97.322804","2040","4899","Alvarado Line (ROW)","#5b6770","extra"
"X043","Texas Health Care Rheumatology E","commuter","32.676119","-97.380408","2040","4685","TexPress Expansion","#5b6770","extra"
"X023","Forest Hill E2","brt","32.662214","-97.244891","2040","4420","3","#00838f","extra"
"X017","Berry/Riverside","brt","32.705882","-97.304345","2040","2896","3;FW Crosstown Loop","#00838f","extra"
"X539","Crowley","commuter","32.594288","-97.328011","2040","2697","Alvarado Line (ROW)","#5b6770","extra"
"X537","Edgecliff Village","commuter","32.656317","-97.328773","2040","1553","Alvarado Line (ROW)","#5b6770","extra"
"X045","Mesa Springs","commuter","32.625706","-97.421017","2040","1477","TexPress Expansion","#5b6770","extra"
"X235","Uptown","metro","32.796682","-96.802103","2045","75755","DNT Line - East","#817717","extra"
"X229","Galleria","metro","32.928957","-96.818245","2045","65527","DNT Line - East","#817717","extra"
"X228","Addison South","metro","32.935855","-96.826149","2045","55578","DNT Line - East","#817717","extra"
"X225","Addison Circle","metro","32.964694","-96.826246","2045","53671","DNT Line - East","#817717","extra"
"X237","Downtown","metro","32.778222","-96.789895","2045","42296","DNT Line - East;Line 76","#817717","extra"
"X234","Turtel Creek","metro","32.811036","-96.807653","2045","36109","DNT Line - East","#817717","extra"
"X219","Eating Recovery Center Dallas / Plano NW","metro","33.087888","-96.819549","2045","33953","DNT Line - East","#817717","extra"
"X226","Addison E","metro","32.954124","-96.826527","2045","27350","DNT Line - East;Beltline Line","#817717","extra"
"X220","Eating Recovery Center Dallas / Plano W","metro","33.067785","-96.820826","2045","23676","DNT Line - East","#817717","extra"
"X525","Richland College","brt","32.909231","-96.734794","2045","21781","Forest Lane BRT","#00838f","extra"
"X526","Richardson SE","brt","32.909436","-96.717748","2045","21775","Forest Lane BRT","#00838f","extra"
"X523","Medical City Dallas","brt","32.909538","-96.7734","2045","21709","Forest Lane BRT","#00838f","extra"
"X232","A famous place","metro","32.863568","-96.806612","2045","20372","DNT Line - East","#817717","extra"
"X530","Bishop Arts District","brt","32.743228","-96.824896","2045","15276","Jefferson Blvd BRT","#00838f","extra"
"X223","Baylor Scott & White The Heart Hospital - Plano","metro","33.007264","-96.824618","2045","14729","DNT Line - East","#817717","extra"
"X215","Haven Behavioral Hospital Of Frisco","metro","33.150534","-96.834581","2045","14172","DNT Line - East","#817717","extra"
"X218","Dr pepper ballpark","metro","33.099252","-96.818468","2045","13148","DNT Line - East","#817717","extra"
"X533","Cockrell Hill NW","brt","32.742336","-96.891421","2045","11754","Jefferson Blvd BRT;Blue Ctd","#00838f","extra"
"X233","Highland Park Village","metro","32.836011","-96.805131","2045","11631","DNT Line - East","#817717","extra"
"X247","towne","metro","32.808804","-96.624036","2045","11313","DNT Line - East","#817717","extra"
"X246","Mesquite NW2","metro","32.802088","-96.645616","2045","11093","DNT Line - East","#817717","extra"
"X214","Frisco","metro","33.160926","-96.836717","2045","10549","DNT Line - East","#817717","extra"
"X531","Winnetka Heights Historic District","brt","32.746024","-96.849788","2045","10543","Jefferson Blvd BRT","#00838f","extra"
"X217","The T's","metro","33.116544","-96.823901","2045","10036","DNT Line - East;Legacy Line","#817717","extra"
"X524","Bouchard","brt","32.909255","-96.75414","2045","10023","Forest Lane BRT","#00838f","extra"
"X062","Roanoke","commuter","33.004737","-97.227651","2045","9769","FTW/Denton","#5b6770","extra"
"X058","Tarrant County College South Campus N","commuter","32.686117","-97.293445","2045","9200","SE TexRail","#5b6770","extra"
"X221","Dallas Baptist University (DBU North)","metro","33.047616","-96.822107","2045","9101","DNT Line - East","#817717","extra"
"X067","Watauga W","commuter","32.861858","-97.264477","2045","8592","FTW/Denton","#5b6770","extra"
"X059","Sundance Square S2","commuter","32.703517","-97.320866","2045","7799","SE TexRail","#5b6770","extra"
"X224","Addison","metro","32.985992","-96.825475","2045","7471","DNT Line - East","#817717","extra"
