"geoid","pop","jobs","lat","lon"
"481130078251","1738","245","32.896762","-96.735268"
"481130143093","1904","16","32.858656","-96.99003"
"484391108081","1408","417","32.70649","-97.510219"
"481130141592","910","26173","32.899716","-96.986918"
"481210206041","1904","97","33.21764","-97.1035"
"483671402011","1237","1215","32.75573","-97.794078"
"481130091051","1429","425","32.738631","-96.686887"
"481210214155","2640","613","33.174335","-97.075516"
"481130203002","1742","975","32.773347","-96.767721"
"481130141522","1664","4676","32.902117","-96.965799"
"481130141501","1676","5816","32.923563","-96.972995"
"481130173101","1348","14","32.744626","-96.545148"
"481210215301","1514","1898","33.078836","-96.874953"
"481210217242","2000","75","33.022798","-97.050918"
"484391115261","2756","77","32.702963","-97.143067"
"483970404121","1265","51","32.916637","-96.321894"
"481210203213","2371","199","33.017372","-97.193298"
"481130006082","1032","236","32.819232","-96.811313"
"480850309021","6","644","33.172477","-96.576888"
"482570511003","1779","1612","32.581591","-96.315525"
"484391141112","855","202","32.940098","-97.364281"
"481130119011","1619","7","32.739369","-96.660067"
"481130190371","873","172","32.970248","-96.687213"
"484391226002","2434","537","32.717544","-97.1385"
"484391035001","1139","400","32.736627","-97.28915"
"481130131071","1226","697","32.889463","-96.773815"
"484391135202","943","35","32.867022","-97.071782"
"481130180012","1562","37","32.834774","-96.641054"
"481130190193","1363","19","32.914687","-96.708267"
"481130060021","1251","63","32.697255","-96.834891"
"484391055023","1173","88","32.653025","-97.374249"
"484391110322","2992","156","32.624255","-97.39156"
"481130146031","1890","458","32.824153","-96.946457"
"480850313292","3749","298","33.024148","-96.599526"
"484391047021","1291","38","32.681787","-97.334411"
"481210215361","2191","290","33.148805","-96.904269"
"481130190471","1812","69","32.926008","-96.675384"
"484391115063","1681","592","32.716999","-97.155579"
"480850316341","1245","97","33.06162","-96.730349"
"481130141521","1705","1982","32.90522","-96.961606"
"481130004071","1108","117","32.817196","-96.830009"
"481210216351","1750","26","33.006303","-96.845654"
"481130112012","2781","73","32.655906","-96.818554"
"481130098021","1422","12","32.8777","-96.859679"
"481210209002","2512","24","33.21276","-97.158258"
"481130106021","1388","531","32.77191","-96.913107"
"484391135093","2139","895","32.841247","-97.092409"
"480850304033","1439","36","33.166569","-96.81636"
"481130122103","1190","12","32.809105","-96.689017"
"480850305042","2511","5023","33.116328","-96.829473"
"481130136071","2008","436","32.956538","-96.773332"
"481210201262","2037","122","33.165013","-96.936024"
"484391131192","1949","239","32.787724","-97.065753"
"481130172013","2127","896","32.732788","-96.626117"
"480850305441","2188","105","33.182117","-96.66928"
"481130002022","1389","498","32.836166","-96.765124"
"480850304061","3669","1372","33.129399","-96.81254"
"481130147042","1220","413","32.824311","-96.922875"
"484391060044","2048","2158","32.607978","-97.29869"
"481210216431","1877","391","33.030965","-96.901714"
"481210217562","2249","574","33.001222","-97.072601"
"484391115711","1169","183","32.688334","-97.049306"
"480850316281","903","35","33.054229","-96.715809"
"481130166183","2168","665","32.597761","-96.864782"
"481210217271","2318","3561","33.007108","-97.059387"
"481130136291","945","1","32.941762","-96.81217"
"480850305212","2733","145","33.181551","-96.772364"
"480850303014","3022","67","33.22678","-96.686235"
"481130164061","1669","283","32.706178","-97.01043"
"481210217202","1752","365","33.063431","-97.053302"
"481130109042","1107","147","32.659773","-96.887081"
"481130141193","1586","995","32.955458","-96.986289"
