"station_id","name","mode","src","year_opens","term","act1k","fwy_m","feasibility","lat","lon"
"X463","North Westchester Meadows W2","metro","extra","2065","0","9578","1523","moderate","32.662495","-97.042384"
"X296","Duncanville NE2","metro","extra","2070","0","9652","195","moderate","32.661896","-96.900495"
"X062","Roanoke","commuter","extra","2045","0","9769","829","moderate","33.004737","-97.227651"
"X419","Swiss Avenue Historic District","metro","extra","2060","0","9783","2700","moderate","32.815408","-96.759123"
"X300","Oak Cliff SE","metro","extra","2070","0","9800","7","moderate","32.699723","-96.837642"
"X297","A mall","metro","extra","2070","0","9990","696","moderate","32.662257","-96.879374"
"X044","Texas Health Care Rheumatology","commuter","extra","2035","0","10007","890","moderate","32.653816","-97.406791"
"X524","Bouchard","brt","extra","2045","0","10023","1230","moderate","32.909255","-96.75414"
"X217","The T's","metro","extra","2045","0","10036","87","moderate","33.116544","-96.823901"
"S015","S Main S","metro","fw","2035","0","10038","500","moderate","32.737917","-97.32595"
"S041","Haltom North","metro","fw","2050","0","10045","1689","moderate","32.802861","-97.26453"
"X476","Haltom North","brt","extra","2060","0","10045","1560","moderate","32.801943","-97.263467"
"X284","Arlington Highlands","metro","extra","2070","0","10099","722","moderate","32.684547","-97.103188"
"X427","Dallas Baptist University (DBU Mansfield)","metro","extra","2065","0","10159","114","moderate","32.584933","-97.138381"
"X434","UTA W","metro","extra","2065","0","10167","3338","moderate","32.729572","-97.13188"
"S002","Mercado","metro","fw","2035","0","10250","3678","moderate","32.804604","-97.351422"
"X342","Richardson W","brt","extra","2065","0","10253","1549","moderate","32.951149","-96.756057"
"X424","Zacha Junction","metro","extra","2060","0","10269","805","moderate","32.864521","-96.681006"
"X500","McKinney","commuter","extra","2040","1","10279","1406","moderate","33.1976","-96.6155"
"X349","Carrollton","brt","extra","2065","0","10298","3546","moderate","32.953535","-96.881998"
"X244","Fair Park E10","metro","extra","2045","0","10322","2117","moderate","32.777985","-96.682746"
"X391","Mesquite SE","brt","extra","2065","1","10324","2504","moderate","32.765285","-96.597063"
"X052","Sundance Square S3","commuter","extra","2060","0","10377","3579","moderate","32.698901","-97.343439"
"X439","Euless","metro","extra","2065","0","10382","1973","moderate","32.819701","-97.09822"
"X272","Balch Springs NW","metro","extra","2050","0","10445","3275","moderate","32.76295","-96.65676"
"X531","Winnetka Heights Historic District","brt","extra","2045","0","10543","1980","moderate","32.746024","-96.849788"
"X214","Frisco","metro","extra","2045","1","10549","344","moderate","33.160926","-96.836717"
"X042","Sundance Square SW2","commuter","extra","2035","0","10581","3342","moderate","32.699481","-97.355351"
"X337","Garland N","brt","extra","2065","0","10606","1901","moderate","32.93957","-96.636033"
"X332","Rose Hill","brt","extra","2065","0","10708","1219","moderate","32.851053","-96.598554"
"X462","Outlet Mall","metro","extra","2065","0","10752","101","moderate","32.677846","-97.050527"
"X451","Irving W2","metro","extra","2065","0","10841","56","moderate","32.836421","-96.993238"
"X399","Cowboys/Rangers Stadiums","metro","extra","2060","0","10939","1029","moderate","32.750424","-97.088303"
"X413","Trinity Groves South?","metro","extra","2060","0","10996","466","moderate","32.771676","-96.836196"
"X395","Arlington","metro","extra","2060","0","11012","4262","moderate","32.721328","-97.14621"
"X497","Watters Creek","commuter","extra","2040","1","11013","1055","moderate","33.0518","-96.709"
"X563","New Koreatown","commuter","extra","2050","0","11027","778","moderate","32.978541","-96.878695"
