tract,lat,lon,pop,jobs
48439106004,32.627034,-97.284843,8354,2843
48439111202,32.63075,-97.284838,6154,1967
48121021539,33.145478,-96.875495,8624,902
48121021518,33.079767,-96.899486,2884,1150
48439111566,32.602057,-97.044014,6264,175
48085032017,32.995833,-96.639934,5026,190
48397040403,32.976942,-96.355079,2681,423
48113018141,32.858721,-96.546947,4245,485
48113016406,32.702433,-97.009694,4919,352
48113000300,32.830511,-96.775428,4592,1430
48113019032,32.920183,-96.692695,4258,343
48113013005,32.874204,-96.70477,4295,1082
48121020314,33.115744,-97.25911,11860,1381
48085031414,33.116724,-96.622362,6149,398
48121020137,33.212356,-96.935484,3935,201
48085031611,33.048633,-96.706812,3919,4039
48113017900,32.820464,-96.652831,5412,598
48085031668,33.037873,-96.821216,3761,5704
48085031649,33.020585,-96.815366,5611,17101
48439110401,32.812124,-97.437733,4711,5008
48439111018,32.567392,-97.399318,2245,491
48113016302,32.715636,-96.989361,2123,59
48121020313,33.151841,-97.315686,5963,1293
48121020128,33.232224,-96.864116,11727,1002
48085031708,32.993792,-96.802492,3902,5066
48113019202,32.944904,-96.750075,4714,1128
48113009202,32.72722,-96.67248,6115,582
48139060106,32.466316,-96.701699,3619,559
48085031003,33.192371,-96.5269,12022,824
48085031673,33.064681,-96.793994,2817,918
48439122801,32.71425,-97.11199,3404,921
48439113210,32.88305,-97.203404,7622,804
48121021650,33.032796,-96.923483,5354,523
48121020320,33.021039,-97.32905,11167,13272
48113005700,32.699675,-96.800292,5522,556
48085031201,33.044803,-96.378601,7895,1347
48085030540,33.155145,-96.700055,4154,78
48367140409,32.91686,-97.633037,4233,47
48367140604,32.613492,-97.778408,3965,682
48085032014,33.019475,-96.671225,5347,192
48113006502,32.724916,-96.884553,3585,845
48085030606,33.162997,-96.65393,5597,1276
48439110906,32.670043,-97.462782,4429,1336
48113010002,32.777328,-96.816411,4174,496
48113006701,32.745235,-96.887712,4196,95
48113014157,32.932724,-96.983947,1914,7884
48139061000,32.172869,-96.907448,4538,766
48439111534,32.655193,-97.179291,6441,426
48113013102,32.887661,-96.781449,1928,178
48113014145,32.858842,-96.994539,1424,49
48113007826,32.873469,-96.734219,1698,309
48121021307,33.163933,-97.100733,4922,491
48439106202,32.708844,-97.247348,4869,229
48113009304,32.715988,-96.702438,6749,1204
48085031641,33.094666,-96.742376,6306,870
48439114110,32.932189,-97.383456,8809,1010
48251130418,32.545847,-97.109203,3004,625
48113014121,32.95799,-96.951165,5466,974
48439100401,32.793048,-97.366315,2064,200
48113017606,32.755651,-96.627508,5211,327
48085032018,32.990783,-96.67424,3595,66
48397040514,32.864224,-96.318302,2720,298
48113016525,32.567384,-97.009763,2452,168
48121021420,33.136501,-97.082388,3234,106
48439114105,32.959374,-97.465092,4099,934
48113013625,32.943951,-96.820382,2860,286
48113013804,32.921182,-96.858415,3404,855
48439122802,32.711753,-97.103104,4585,267
48439111033,32.607119,-97.397388,5135,512
48113016410,32.663515,-97.024482,4264,1851
48113019033,32.913585,-96.691891,4422,663
48113019046,32.920084,-96.67326,3691,350
48113016632,32.582802,-96.865696,3244,56
48439113120,32.800743,-97.086065,4423,312
48439122701,32.713139,-97.11864,2558,286
48113012400,32.828876,-96.684123,5156,401
48121021643,33.029982,-96.894524,4919,1877
48439122300,32.733145,-97.11317,5642,6095
48113001001,32.820671,-96.775918,1910,486
48439102700,32.740597,-97.376491,3279,807
48121021520,33.090265,-96.881585,3527,362
48139060211,32.447172,-96.903876,4062,888
48439111028,32.58507,-97.340823,7923,433
48113018144,32.937836,-96.524712,4458,118
48113019027,32.954497,-96.651322,6375,3130
48113019051,32.974086,-96.611424,5423,521
48113016511,32.626614,-96.950428,4335,152
48113016421,32.695066,-96.994874,3824,93
48439111307,32.583749,-97.145823,3540,4710
48439106503,32.751743,-97.208875,5483,952
48121020601,33.227941,-97.123099,5306,9471
48439113516,32.858084,-97.091233,4280,631
48367140202,32.741506,-97.781538,4622,5532
48439104601,32.712116,-97.269969,3814,166
48085031659,33.080389,-96.795907,2121,1315
48113016620,32.596718,-96.840374,5688,1320
48085031328,33.02644,-96.618239,3830,172
48113005100,32.736502,-96.842793,2551,121
48439106518,32.822517,-97.055279,5524,34012
48439104900,32.802447,-97.296258,3252,344
48439110808,32.671674,-97.514899,4752,1148
48439101302,32.730994,-97.220362,3074,843
48113014903,32.810731,-96.943752,3998,3066
48439105204,32.731734,-97.476997,3430,544
48113000501,32.811959,-96.81471,1950,702
48113007902,32.849133,-96.743588,5433,1137
48439121704,32.749612,-97.103989,3165,2641
48121020203,33.355747,-97.170233,5936,1554
48397040510,32.877078,-96.480049,4453,1701
48121021758,33.061571,-97.069094,3580,1773
48113018801,32.924864,-96.641462,4576,2190
48113001901,32.794116,-96.806993,4064,12220
48113007915,32.862859,-96.761455,2048,84
48439113217,32.844167,-97.2216,4516,1377
48439113633,32.88894,-97.113647,4291,1469
48113007301,32.858151,-96.815356,2108,12728
48113016414,32.670878,-97.010947,2163,756
48113014132,32.941235,-96.946903,2628,50
48113013716,32.969026,-96.903272,5078,3605
48439105404,32.686111,-97.384761,4257,1147
48113000704,32.807917,-96.797087,2971,3058
48113009803,32.877556,-96.872507,2051,1214
48439106600,32.801908,-97.426268,3291,1007
48439113936,32.906421,-97.297834,6682,475
48439123700,32.73248,-97.343513,3623,24131
48113016903,32.595144,-96.686871,6851,5173
48113016802,32.571755,-96.779978,5465,582
48113007605,32.888098,-96.810267,1501,1021
48139061300,32.34031,-96.716427,3627,406
48439111318,32.59141,-97.194151,5282,902
48121020311,33.004659,-97.227995,3628,6141
48113013729,32.947289,-96.89471,7353,2979
48113017007,32.662741,-96.564139,4983,112
48121021616,33.006886,-96.862693,4626,89
48121021748,33.044627,-97.079598,4254,1376
48121020115,33.167532,-96.977206,7156,734
48139060601,32.412742,-96.845872,5171,4303
48085031415,33.107559,-96.704207,4945,614
48085031633,33.068002,-96.72505,3636,30
48121021732,33.013758,-96.998321,2524,143
48113012900,32.854213,-96.707802,4828,653
48439113944,32.946398,-97.275598,5191,120
48121021412,33.157121,-97.044879,6183,1462
48251130222,32.531628,-97.328526,3342,1013
48121021419,33.143361,-97.062977,4699,383
48113010807,32.698197,-96.887581,4074,98
